"instance","run","seed","repetitions","pool_size","iterations","patience","initial_patience","generated_best","ma_cetsp","final","lei_hao","improvement_vs_lei_hao_percent","seed_ms","ma_ms","socp_ms","ma_best_time","ma_total_time","ma_valid","final_valid"
"bubbles4.txt","9","123456797","1000","20","5000","500","1500","809.2792082427","809.2792082427","809.1734921443","802.974","-0.7720663613392137","13636","339479","185","1.612721","339.351","true","true"
"bubbles4.txt","10","123456798","1000","20","5000","500","1500","810.3436451526","808.6278682359","808.468468392","802.974","-0.6842647946259692","13827","220222","162","107.787002","220.125","true","true"
"bubbles4.txt","11","123456799","1000","20","5000","500","1500","809.2792082427","807.7382279864","807.7382278718","802.974","-0.5933228064420396","13856","256857","141","144.403992","256.752","true","true"
"bubbles4.txt","12","123456800","1000","20","5000","500","1500","809.2792082427","809.2792082427","809.1734921443","802.974","-0.7720663613392137","13693","343473","181","1.739072","343.345","true","true"
"bubbles4.txt","13","123456801","1000","20","5000","500","1500","809.2792082427","809.2792082427","809.1734921443","802.974","-0.7720663613392137","14304","355377","190","1.709443","355.239","true","true"
"bubbles4.txt","14","123456802","1000","20","5000","500","1500","810.6612866696","804.8307283223","804.830728322","802.974","-0.23123143738153173","14189","421202","147","311.379137","421.062","true","true"
"bubbles4.txt","15","123456803","1000","20","5000","500","1500","809.2792082427","806.7936053804","806.7936053799","802.974","-0.47568232345006684","14268","173130","164","54.344061","173.051","true","true"
"bubbles4.txt","16","123456804","1000","20","5000","500","1500","809.2792082427","809.2792082427","809.1734921443","802.974","-0.7720663613392137","14799","360558","184","1.87413","360.43","true","true"
"bubbles4.txt","17","123456805","1000","20","5000","500","1500","810.6612866696","805.4922371745","805.4922371714","802.974","-0.3136137871711861","14197","121651","177","4.822388","121.583","true","true"
"bubbles4.txt","18","123456806","1000","20","5000","500","1500","810.7631801003","809.098926374","808.1403617069","802.974","-0.6434033613666096","13854","121420","134","14.373984","121.354","true","true"
"bubbles4.txt","19","123456807","1000","20","5000","500","1500","809.2792082427","809.2792082427","809.1734921443","802.974","-0.7720663613392137","13597","328714","180","1.674451","328.577","true","true"
"bubbles4.txt","20","123456808","1000","20","5000","500","1500","810.7631801003","808.4777004836","807.2127971484","802.974","-0.527887222799238","12938","508210","198","398.056441","508.057","true","true"
"bubbles5.txt","1","123456789","1000","20","5000","500","1500","1063.3410946534","1040.8043255112","1040.8043254466","1035.32","-0.5297227375690604","22027","595240","193","430.474871","595.083","true","true"
"bubbles5.txt","2","123456790","1000","20","5000","500","1500","1061.3106341653","1036.477672315","1036.4776722864","1035.32","-0.11181782312716423","23221","702968","247","519.287664","702.782","true","true"
"bubbles5.txt","3","123456791","1000","20","5000","500","1500","1057.6202958514","1040.3760037123","1040.374471662","1035.32","-0.4882038077116224","25121","873094","155","711.429522","872.928","true","true"
"bubbles5.txt","4","123456792","1000","20","5000","500","1500","1057.6202958514","1038.9545169826","1038.6300895125","1035.32","-0.3197165622706119","19658","563293","153","413.411418","563.136","true","true"
"bubbles5.txt","5","123456793","1000","20","5000","500","1500","1065.9615139296","1037.8145358578","1037.6010850903","1035.32","-0.220326574421451","20433","452675","334","291.031951","452.545","true","true"
"bubbles5.txt","6","123456794","1000","20","5000","500","1500","1061.3106341653","1037.2120493716","1037.0548615886","1035.32","-0.16756766879806217","19679","470537","226","318.258127","470.402","true","true"
"bubbles5.txt","7","123456795","1000","20","5000","500","1500","1061.8589274945","1039.3786500137","1039.3786499642","1035.32","-0.3920188892516283","19416","445791","198","295.251443","445.66","true","true"
"bubbles5.txt","8","123456796","1000","20","5000","500","1500","1057.6202958514","1038.4954347173","1038.495434662","1035.32","-0.30671045300004285","19121","566538","217","413.669749","566.391","true","true"
"bubbles5.txt","9","123456797","1000","20","5000","500","1500","1061.8589274945","1039.9339095949","1039.7624850767","1035.32","-0.4290929448576281","19453","437678","223","278.876696","437.549","true","true"
"bubbles5.txt","10","123456798","1000","20","5000","500","1500","1061.3106341653","1038.9319465269","1038.6428694547","1035.32","-0.3209509576459587","19620","436500","237","286.587582","436.369","true","true"
"bubbles5.txt","11","123456799","1000","20","5000","500","1500","1061.8589274945","1036.1634375063","1036.1634374979","1035.32","-0.08146635802458568","19453","852667","304","695.903205","852.448","true","true"
